,Time,Session,Volume,Price Entry,B/S,Profit
292,2023-05-02 00:40:00-04:00,Overnight Session,165,13301.25,Sell,-15
293,2023-05-02 00:45:00-04:00,Overnight Session,94,13302,Buy,-10
294,2023-05-02 00:50:00-04:00,Overnight Session,127,13301.5,Sell,-100
295,2023-05-02 01:05:00-04:00,Overnight Session,278,13306.5,Buy,-85
296,2023-05-02 01:10:00-04:00,Overnight Session,165,13302.25,Sell,-60
297,2023-05-02 01:15:00-04:00,Overnight Session,204,13305.25,Buy,20
298,2023-05-02 01:55:00-04:00,Overnight Session,318,13306.25,Sell,-150
299,2023-05-02 02:35:00-04:00,Overnight Session,215,13313.75,Buy,-35
300,2023-05-02 03:15:00-04:00,Overnight Session,755,13312,Sell,-70
301,2023-05-02 05:35:00-04:00,Overnight Session,506,13315.5,Buy,-245
302,2023-05-02 06:05:00-04:00,Overnight Session,422,13303.25,Sell,-185
303,2023-05-02 06:45:00-04:00,Overnight Session,453,13312.5,Buy,-215
304,2023-05-02 07:30:00-04:00,Overnight Session,511,13301.75,Sell,95
305,2023-05-02 08:45:00-04:00,Pre-Market,663,13297,Buy,-300
306,2023-05-02 09:40:00-04:00,RTH Session,13580,13282,Sell,2745
307,2023-05-02 11:35:00-04:00,RTH Lunch,10539,13144.75,Buy,555
308,2023-05-02 14:20:00-04:00,RTH Lunch,3932,13172.5,Sell,-580
309,2023-05-02 14:50:00-04:00,RTH Lunch,4026,13201.5,Buy,-340
310,2023-05-02 15:30:00-04:00,RTH Power Hour,5267,13184.5,Sell,390
311,2023-05-02 18:45:00-04:00,Asia Session,74,13165,Buy,425
312,2023-05-02 21:10:00-04:00,Asia Session,265,13186.25,Sell,-45
313,2023-05-02 22:15:00-04:00,Overnight Session,183,13188.5,Buy,-165
314,2023-05-02 23:20:00-04:00,Overnight Session,376,13180.25,Sell,-175
315,2023-05-02 23:55:00-04:00,Overnight Session,56,13189,Buy,-120
316,2023-05-03 00:20:00-04:00,Overnight Session,181,13183,Sell,-220
317,2023-05-03 01:00:00-04:00,Overnight Session,680,13194,Buy,-240
318,2023-05-03 01:20:00-04:00,Overnight Session,410,13182,Sell,-115
319,2023-05-03 01:55:00-04:00,Overnight Session,127,13187.75,Buy,-75
320,2023-05-03 02:05:00-04:00,Overnight Session,332,13184,Sell,-80
321,2023-05-03 02:10:00-04:00,Overnight Session,242,13188,Buy,-90
322,2023-05-03 02:40:00-04:00,Overnight Session,215,13183.5,Sell,-180
323,2023-05-03 02:50:00-04:00,Overnight Session,330,13192.5,Buy,-90
324,2023-05-03 03:50:00-04:00,Overnight Session,414,13188,Sell,-370
325,2023-05-03 04:35:00-04:00,Overnight Session,829,13206.5,Buy,-80
326,2023-05-03 05:40:00-04:00,Overnight Session,928,13202.5,Sell,-225
327,2023-05-03 06:00:00-04:00,Overnight Session,802,13213.75,Buy,-145
328,2023-05-03 06:05:00-04:00,Overnight Session,745,13206.5,Sell,-140
329,2023-05-03 06:10:00-04:00,Overnight Session,476,13213.5,Buy,-150
330,2023-05-03 06:25:00-04:00,Overnight Session,648,13206,Sell,-230
331,2023-05-03 07:15:00-04:00,Overnight Session,537,13217.5,Buy,-55
332,2023-05-03 08:20:00-04:00,Pre-Market,1028,13214.75,Sell,-55
333,2023-05-03 09:40:00-04:00,RTH Session,5550,13217.5,Buy,-445
334,2023-05-03 10:25:00-04:00,RTH Session,6017,13195.25,Sell,-385
335,2023-05-03 11:55:00-04:00,RTH Lunch,4726,13214.5,Buy,145
336,2023-05-03 13:55:00-04:00,RTH Lunch,3374,13221.75,Sell,-645
337,2023-05-03 14:15:00-04:00,RTH Lunch,7361,13254,Buy,-495
338,2023-05-03 14:45:00-04:00,RTH Lunch,12215,13229.25,Sell,2170
339,2023-05-03 16:25:00-04:00,After-Session,451,13120.75,Buy,-1325
340,2023-05-03 18:00:00-04:00,Asia Session,0,13054.5,Sell,-285
341,2023-05-03 18:30:00-04:00,Asia Session,399,13068.75,Buy,1590
342,2023-05-03 23:25:00-04:00,Overnight Session,180,13148.25,Sell,-360
343,2023-05-04 00:35:00-04:00,Overnight Session,1002,13166.25,Buy,-80
344,2023-05-04 01:25:00-04:00,Overnight Session,193,13162.25,Sell,115
345,2023-05-04 03:35:00-04:00,Overnight Session,4520,13156.5,Buy,-495
346,2023-05-04 05:05:00-04:00,Overnight Session,418,13131.75,Sell,80
347,2023-05-04 06:20:00-04:00,Overnight Session,984,13127.75,Buy,-465
348,2023-05-04 06:45:00-04:00,Overnight Session,896,13104.5,Sell,20
